=== Inicio de la Optimización PSO Global ===

--- Iteración 1 ---
Partícula 03 | Posición: [-1.3707, -1.3727] | Velocidad: [ 0.0328, -0.0525] | pbest: -45.2493 | gbest: -45.4247
Partícula 04 | Posición: [-1.2671, -1.4016] | Velocidad: [ 0.5933,  0.0446] | pbest: -44.9290 | gbest: -45.4247
Partícula 05 | Posición: [-1.5488, -1.8731] | Velocidad: [-0.0449, -0.2285] | pbest: -44.9097 | gbest: -45.4247
Partícula 06 | Posición: [-1.3927, -1.4817] | Velocidad: [ 0.2999, -0.3656] | pbest: -45.3703 | gbest: -45.4247
Partícula 07 | Posición: [-1.4741, -1.6239] | Velocidad: [-0.0037, -0.2259] | pbest: -45.3854 | gbest: -45.4247
Partícula 08 | Posición: [-1.2973, -2.0131] | Velocidad: [ 0.0087,  0.0857] | pbest: -45.0817 | gbest: -45.4247
Partícula 09 | Posición: [-1.4954, -1.3911] | Velocidad: [-0.0682,  0.3129] | pbest: -45.3550 | gbest: -45.4247
Partícula 10 | Posición: [-1.7676, -1.4028] | Velocidad: [-1.0368,  0.0912] | pbest: -45.1171 | gbest: -45.4247
Partícula 11 | Posición: [-1.3676, -1.4191] | Velocidad: [-0.1373, -0.0431] | pbest: -45.3144 | gbest: -45.4247
Partícula 12 | Posición: [-1.5854, -1.4333] | Velocidad: [ 0.0859,  0.0141] | pbest: -45.3361 | gbest: -45.4247
Partícula 13 | Posición: [-1.4518, -1.4087] | Velocidad: [ 0.0387,  0.0647] | pbest: -45.4083 | gbest: -45.4247
Partícula 14 | Posición: [-1.4911, -1.4198] | Velocidad: [-0.1391,  0.0860] | pbest: -45.3970 | gbest: -45.4247
Partícula 15 | Posición: [-1.4604, -1.4390] | Velocidad: [-0.0106,  0.1618] | pbest: -45.4275 | gbest: -45.4275
Partícula 16 | Posición: [-1.3780, -1.3795] | Velocidad: [ 0.0657,  0.0554] | pbest: -45.4247 | gbest: -45.4275
Partícula 17 | Posición: [-1.4070, -1.4470] | Velocidad: [ 0.0198,  0.0154] | pbest: -45.4201 | gbest: -45.4275
Partícula 18 | Posición: [-1.4026, -1.4225] | Velocidad: [ 0.1511,  0.0095] | pbest: -45.3821 | gbest: -45.4275
Partícula 19 | Posición: [-1.5685, -1.5215] | Velocidad: [ 0.7817,  0.5883] | pbest: -45.1945 | gbest: -45.4275
Partícula 20 | Posición: [-1.5037, -1.3116] | Velocidad: [ 0.0196, -0.0775] | pbest: -45.2573 | gbest: -45.4275

--- Iteración 9 ---
Partícula 01 | Posición: [-1.4208, -1.8770] | Velocidad: [-0.0243,  0.1972] | pbest: -44.6600 | gbest: -45.4275
Partícula 02 | Posición: [-1.6014, -1.3836] | Velocidad: [-0.0254, -0.1086] | pbest: -45.0729 | gbest: -45.4275
Partícula 03 | Posición: [-1.4327, -1.4492] | Velocidad: [-0.0619, -0.0764] | pbest: -45.4246 | gbest: -45.4275
Partícula 04 | Posición: [-1.1277, -1.4027] | Velocidad: [ 0.1394, -0.0011] | pbest: -44.9290 | gbest: -45.4275
Partícula 05 | Posición: [-1.5526, -1.8935] | Velocidad: [-0.0039, -0.0204] | pbest: -44.9097 | gbest: -45.4275
Partícula 06 | Posición: [-1.3137, -1.6021] | Velocidad: [ 0.0790, -0.1203] | pbest: -45.3703 | gbest: -45.4275
Partícula 07 | Posición: [-1.4717, -1.5436] | Velocidad: [ 0.0023,  0.0803] | pbest: -45.3854 | gbest: -45.4275
Partícula 08 | Posición: [-1.6077, -1.1054] | Velocidad: [-0.3104,  0.9076] | pbest: -45.0817 | gbest: -45.4275
Partícula 09 | Posición: [-1.4918, -1.3082] | Velocidad: [ 0.0036,  0.0829] | pbest: -45.3550 | gbest: -45.4275
Partícula 10 | Posición: [-1.9378, -1.4056] | Velocidad: [-0.1703, -0.0027] | pbest: -45.1171 | gbest: -45.4275
Partícula 11 | Posición: [-1.4896, -1.4507] | Velocidad: [-0.1220, -0.0316] | pbest: -45.4141 | gbest: -45.4275
Partícula 12 | Posición: [-1.4308, -1.4403] | Velocidad: [ 0.1546, -0.0070] | pbest: -45.4212 | gbest: -45.4275
Partícula 13 | Posición: [-1.4544, -1.4134] | Velocidad: [-0.0026, -0.0047] | pbest: -45.4088 | gbest: -45.4275
Partícula 14 | Posición: [-1.5241, -1.3996] | Velocidad: [-0.0330,  0.0202] | pbest: -45.3970 | gbest: -45.4275
Partícula 15 | Posición: [-1.4646, -1.3742] | Velocidad: [-0.0043,  0.0647] | pbest: -45.4275 | gbest: -45.4275
Partícula 16 | Posición: [-1.4012, -1.3947] | Velocidad: [-0.0232, -0.0152] | pbest: -45.4247 | gbest: -45.4275
Partícula 17 | Posición: [-1.4456, -1.4376] | Velocidad: [-0.0386,  0.0094] | pbest: -45.4265 | gbest: -45.4275
Partícula 18 | Posición: [-1.4035, -1.4362] | Velocidad: [-0.0008, -0.0137] | pbest: -45.3923 | gbest: -45.4275
Partícula 19 | Posición: [-1.2313, -1.2675] | Velocidad: [ 0.3372,  0.2540] | pbest: -45.1945 | gbest: -45.4275
Partícula 20 | Posición: [-1.4334, -1.6618] | Velocidad: [ 0.0703, -0.3502] | pbest: -45.2573 | gbest: -45.4275

--- Iteración 10 ---
Partícula 01 | Posición: [-1.4196, -1.2898] | Velocidad: [ 0.0013,  0.5872] | pbest: -45.0554 | gbest: -45.4275
Partícula 02 | Posición: [-1.4607, -1.4862] | Velocidad: [ 0.1406, -0.1026] | pbest: -45.4168 | gbest: -45.4275
Partícula 03 | Posición: [-1.4738, -1.4737] | Velocidad: [-0.0411, -0.0246] | pbest: -45.4246 | gbest: -45.4275
Partícula 04 | Posición: [-1.4476, -1.4425] | Velocidad: [-0.3199, -0.0398] | pbest: -45.4287 | gbest: -45.4287
Partícula 05 | Posición: [-1.5086, -1.7051] | Velocidad: [ 0.0440,  0.1884] | pbest: -44.9097 | gbest: -45.4287
Partícula 06 | Posición: [-1.3490, -1.5535] | Velocidad: [-0.0353,  0.0485] | pbest: -45.3703 | gbest: -45.4287
Partícula 07 | Posición: [-1.4451, -1.3745] | Velocidad: [ 0.0267,  0.1691] | pbest: -45.3854 | gbest: -45.4287
Partícula 08 | Posición: [-1.6760, -0.9364] | Velocidad: [-0.0683,  0.1690] | pbest: -45.0817 | gbest: -45.4287
Partícula 09 | Posición: [-1.4456, -1.4436] | Velocidad: [ 0.0462, -0.1355] | pbest: -45.4286 | gbest: -45.4287
Partícula 10 | Posición: [-1.3903, -1.4992] | Velocidad: [ 0.5476, -0.0936] | pbest: -45.3493 | gbest: -45.4287
Partícula 11 | Posición: [-1.5047, -1.4567] | Velocidad: [-0.0151, -0.0060] | pbest: -45.4141 | gbest: -45.4287
Partícula 12 | Posición: [-1.3825, -1.4448] | Velocidad: [ 0.0484, -0.0046] | pbest: -45.4212 | gbest: -45.4287
Partícula 13 | Posición: [-1.4509, -1.4345] | Velocidad: [ 0.0035, -0.0211] | pbest: -45.4258 | gbest: -45.4287
Partícula 14 | Posición: [-1.4730, -1.4282] | Velocidad: [ 0.0511, -0.0286] | pbest: -45.4173 | gbest: -45.4287
Partícula 15 | Posición: [-1.4599, -1.3806] | Velocidad: [ 0.0047, -0.0063] | pbest: -45.4275 | gbest: -45.4287
Partícula 16 | Posición: [-1.4676, -1.4590] | Velocidad: [-0.0663, -0.0643] | pbest: -45.4284 | gbest: -45.4287
Partícula 17 | Posición: [-1.4632, -1.4392] | Velocidad: [-0.0177, -0.0016] | pbest: -45.4270 | gbest: -45.4287
Partícula 18 | Posición: [-1.4453, -1.4476] | Velocidad: [-0.0419, -0.0114] | pbest: -45.4295 | gbest: -45.4295
Partícula 19 | Posición: [-1.3012, -1.3313] | Velocidad: [-0.0699, -0.0638] | pbest: -45.1945 | gbest: -45.4295
Partícula 20 | Posición: [-1.4147, -1.7760] | Velocidad: [ 0.0187, -0.1142] | pbest: -45.2573 | gbest: -45.4295

--- Iteración 11 ---
Partícula 01 | Posición: [-1.4284, -1.1123] | Velocidad: [-0.0089,  0.1775] | pbest: -45.0554 | gbest: -45.4295
Partícula 02 | Posición: [-1.3865, -1.4820] | Velocidad: [ 0.0743,  0.0042] | pbest: -45.4168 | gbest: -45.4295
Partícula 03 | Posición: [-1.4624, -1.4636] | Velocidad: [ 0.0114,  0.0101] | pbest: -45.4290 | gbest: -45.4295
